DATE,IPUHN4441U101000000
1988-01-01,-5.2
1989-01-01,4.4
1990-01-01,1.3
1991-01-01,4.8
1992-01-01,-3.7
1993-01-01,-3.4
1994-01-01,-4.4
1995-01-01,3.3
1996-01-01,0.1
1997-01-01,1.3
1998-01-01,-1.7
1999-01-01,-1.5
2000-01-01,2.8
2001-01-01,-1.7
2002-01-01,-4.2
2003-01-01,-0.5
2004-01-01,0.0
2005-01-01,1.4
2006-01-01,2.7
2007-01-01,4.9
2008-01-01,5.3
2009-01-01,7.6
2010-01-01,-2.9
2011-01-01,-0.8
2012-01-01,-0.7
2013-01-01,0.0
2014-01-01,-0.6
2015-01-01,-1.0
2016-01-01,-1.2
2017-01-01,0.5
2018-01-01,0.3
2019-01-01,1.3
2020-01-01,4.7
2021-01-01,5.0
2022-01-01,4.6
